======================================================================
A11yAgents evaluation
======================================================================
Loading corpus from corpus1/ ...
  180 snippets loaded
Instantiating conditions ...
Total evaluations to run: 1620

[1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb] persona=ade, wcag=2.1.1, expected=passed
  [Condition A warning] axe output has no `tags` field. Running unfiltered baseline. To enable criterion filtering, patch tools/axe_core_agent.py per the docstring in this file.
  axe rep 2/3: predicted=failed, progress=767/1620
  axe rep 3/3: predicted=failed, progress=768/1620
  persona_llm rep 1/3: predicted=passed, progress=769/1620
  persona_llm rep 2/3: predicted=passed, progress=770/1620
  persona_llm rep 3/3: predicted=passed, progress=771/1620
  persona_agent rep 1/3: predicted=passed, progress=772/1620
  persona_agent rep 2/3: predicted=passed, progress=773/1620
  persona_agent rep 3/3: predicted=passed, progress=774/1620
[ha-3-1-5-fail-01-dense-academic] persona=ian, wcag=3.1.5, expected=failed
  axe rep 1/3: predicted=failed, progress=775/1620
  axe rep 2/3: predicted=failed, progress=776/1620
  axe rep 3/3: predicted=failed, progress=777/1620
  persona_llm rep 1/3: predicted=failed, progress=778/1620
  persona_llm rep 2/3: predicted=failed, progress=779/1620
  persona_llm rep 3/3: predicted=failed, progress=780/1620
  persona_agent rep 1/3: predicted=failed, progress=781/1620
  persona_agent rep 2/3: predicted=failed, progress=782/1620
  persona_agent rep 3/3: predicted=failed, progress=783/1620
[ha-3-1-5-fail-02-legal-density] persona=ian, wcag=3.1.5, expected=failed
  axe rep 1/3: predicted=failed, progress=784/1620
  axe rep 2/3: predicted=failed, progress=785/1620
  axe rep 3/3: predicted=failed, progress=786/1620
  persona_llm rep 1/3: predicted=failed, progress=787/1620
  persona_llm rep 2/3: predicted=failed, progress=788/1620
  persona_llm rep 3/3: predicted=failed, progress=789/1620
  persona_agent rep 1/3: predicted=failed, progress=790/1620
  persona_agent rep 2/3: predicted=failed, progress=791/1620
  persona_agent rep 3/3: predicted=failed, progress=792/1620
[ha-3-1-5-inap-01-minimal-text] persona=ian, wcag=3.1.5, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=793/1620
  axe rep 2/3: predicted=failed, progress=794/1620
  axe rep 3/3: predicted=failed, progress=795/1620
  persona_llm rep 1/3: predicted=passed, progress=796/1620
  persona_llm rep 2/3: predicted=passed, progress=797/1620
  persona_llm rep 3/3: predicted=failed, progress=798/1620
  persona_agent rep 1/3: predicted=failed, progress=799/1620
  persona_agent rep 2/3: predicted=failed, progress=800/1620
  persona_agent rep 3/3: predicted=failed, progress=801/1620
[ha-3-1-5-inap-02-proper-names] persona=ian, wcag=3.1.5, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=802/1620
  axe rep 2/3: predicted=failed, progress=803/1620
  axe rep 3/3: predicted=failed, progress=804/1620
  persona_llm rep 1/3: predicted=passed, progress=805/1620
  persona_llm rep 2/3: predicted=passed, progress=806/1620
  persona_llm rep 3/3: predicted=passed, progress=807/1620
  persona_agent rep 1/3: predicted=passed, progress=808/1620
  persona_agent rep 2/3: predicted=passed, progress=809/1620
  persona_agent rep 3/3: predicted=passed, progress=810/1620
[13b8678881fba03e7465f82b5550abc5093f7968] persona=lakshmi, wcag=1.1.1, expected=passed
  axe rep 1/3: predicted=failed, progress=811/1620
  axe rep 2/3: predicted=failed, progress=812/1620
  axe rep 3/3: predicted=failed, progress=813/1620
  persona_llm rep 1/3: predicted=passed, progress=814/1620
  persona_llm rep 2/3: predicted=passed, progress=815/1620
  persona_llm rep 3/3: predicted=passed, progress=816/1620
  persona_agent rep 1/3: predicted=failed, progress=817/1620
  persona_agent rep 2/3: predicted=failed, progress=818/1620
  persona_agent rep 3/3: predicted=failed, progress=819/1620
[1b172036f8e219ef9b6f591d7f5df26e4ba11327] persona=lakshmi, wcag=1.1.1, expected=passed
  axe rep 1/3: predicted=failed, progress=820/1620
  axe rep 2/3: predicted=failed, progress=821/1620
  axe rep 3/3: predicted=failed, progress=822/1620
  persona_llm rep 1/3: predicted=failed, progress=823/1620
  persona_llm rep 2/3: predicted=failed, progress=824/1620
  persona_llm rep 3/3: predicted=failed, progress=825/1620
  persona_agent rep 1/3: predicted=failed, progress=826/1620
  persona_agent rep 2/3: predicted=failed, progress=827/1620
  persona_agent rep 3/3: predicted=failed, progress=828/1620
[04342a3834e0003f3057807937d617e432e83d33] persona=lakshmi, wcag=1.1.1, expected=failed
  axe rep 1/3: predicted=failed, progress=829/1620
  axe rep 2/3: predicted=failed, progress=830/1620
  axe rep 3/3: predicted=failed, progress=831/1620
  persona_llm rep 1/3: predicted=failed, progress=832/1620
  persona_llm rep 2/3: predicted=failed, progress=833/1620
  persona_llm rep 3/3: predicted=failed, progress=834/1620
  persona_agent rep 1/3: predicted=failed, progress=835/1620
  persona_agent rep 2/3: predicted=failed, progress=836/1620
  persona_agent rep 3/3: predicted=failed, progress=837/1620
[0bbd55ba8e418361f99f717418206a37d57fd978] persona=lakshmi, wcag=1.1.1, expected=failed
  axe rep 1/3: predicted=failed, progress=838/1620
  axe rep 2/3: predicted=failed, progress=839/1620
  axe rep 3/3: predicted=failed, progress=840/1620
  persona_llm rep 1/3: predicted=failed, progress=841/1620
  persona_llm rep 2/3: predicted=failed, progress=842/1620
  persona_llm rep 3/3: predicted=failed, progress=843/1620
  persona_agent rep 1/3: predicted=failed, progress=844/1620
  persona_agent rep 2/3: predicted=failed, progress=845/1620
  persona_agent rep 3/3: predicted=failed, progress=846/1620
[0ab8d652533229aae98191a6a43c2168e1959963] persona=lakshmi, wcag=1.1.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=847/1620
  axe rep 2/3: predicted=failed, progress=848/1620
  axe rep 3/3: predicted=failed, progress=849/1620
  persona_llm rep 1/3: predicted=failed, progress=850/1620
  persona_llm rep 2/3: predicted=failed, progress=851/1620
  persona_llm rep 3/3: predicted=failed, progress=852/1620
  persona_agent rep 1/3: predicted=failed, progress=853/1620
  persona_agent rep 2/3: predicted=failed, progress=854/1620
  persona_agent rep 3/3: predicted=failed, progress=855/1620
[1f2223805c79c21fade3ebf0d9a29f979c16f581] persona=lakshmi, wcag=1.1.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=856/1620
  axe rep 2/3: predicted=failed, progress=857/1620
  axe rep 3/3: predicted=failed, progress=858/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=859/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=860/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=861/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=862/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=863/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=864/1620
[1400d13aa5a86dbacf71db631f5de1abfc982094] persona=lakshmi, wcag=1.3.1, expected=passed
  axe rep 1/3: predicted=failed, progress=865/1620
  axe rep 2/3: predicted=failed, progress=866/1620
  axe rep 3/3: predicted=failed, progress=867/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=868/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=869/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=870/1620
  persona_agent rep 1/3: predicted=failed, progress=871/1620
  persona_agent rep 2/3: predicted=failed, progress=872/1620
  persona_agent rep 3/3: predicted=failed, progress=873/1620
[1acc47f25d4931c25fe3efbb676af6fd4e2ee57e] persona=lakshmi, wcag=1.3.1, expected=passed
  axe rep 1/3: predicted=failed, progress=874/1620
  axe rep 2/3: predicted=failed, progress=875/1620
  axe rep 3/3: predicted=failed, progress=876/1620
  persona_llm rep 1/3: predicted=failed, progress=877/1620
  persona_llm rep 2/3: predicted=failed, progress=878/1620
  persona_llm rep 3/3: predicted=failed, progress=879/1620
  persona_agent rep 1/3: predicted=failed, progress=880/1620
  persona_agent rep 2/3: predicted=failed, progress=881/1620
  persona_agent rep 3/3: predicted=failed, progress=882/1620
[0763ce51664b522eb3ed2c5479e11f4ed91e871c] persona=lakshmi, wcag=1.3.1, expected=failed
  axe rep 1/3: predicted=failed, progress=883/1620
  axe rep 2/3: predicted=failed, progress=884/1620
  axe rep 3/3: predicted=failed, progress=885/1620
  persona_llm rep 1/3: predicted=failed, progress=886/1620
  persona_llm rep 2/3: predicted=failed, progress=887/1620
  persona_llm rep 3/3: predicted=failed, progress=888/1620
  persona_agent rep 1/3: predicted=failed, progress=889/1620
  persona_agent rep 2/3: predicted=failed, progress=890/1620
  persona_agent rep 3/3: predicted=failed, progress=891/1620
[0fd4574e8dd585f4cb14c20f9966bf94f2139ea9] persona=lakshmi, wcag=1.3.1, expected=failed
  axe rep 1/3: predicted=failed, progress=892/1620
  axe rep 2/3: predicted=failed, progress=893/1620
  axe rep 3/3: predicted=failed, progress=894/1620
  persona_llm rep 1/3: predicted=failed, progress=895/1620
  persona_llm rep 2/3: predicted=failed, progress=896/1620
  persona_llm rep 3/3: predicted=failed, progress=897/1620
  persona_agent rep 1/3: predicted=failed, progress=898/1620
  persona_agent rep 2/3: predicted=failed, progress=899/1620
  persona_agent rep 3/3: predicted=failed, progress=900/1620
[09d9fb1862a6f579a948259a44e1117af595d937] persona=lakshmi, wcag=1.3.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=901/1620
  axe rep 2/3: predicted=failed, progress=902/1620
  axe rep 3/3: predicted=failed, progress=903/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=904/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=905/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=906/1620
  persona_agent rep 1/3: predicted=failed, progress=907/1620
  persona_agent rep 2/3: predicted=failed, progress=908/1620
  persona_agent rep 3/3: predicted=failed, progress=909/1620
[0c53e1a110f5191e74bd97da2c92c79c40d76eb2] persona=lakshmi, wcag=1.3.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=910/1620
  axe rep 2/3: predicted=failed, progress=911/1620
  axe rep 3/3: predicted=failed, progress=912/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=913/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=914/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=915/1620
  persona_agent rep 1/3: predicted=failed, progress=916/1620
  persona_agent rep 2/3: predicted=failed, progress=917/1620
  persona_agent rep 3/3: predicted=failed, progress=918/1620
[1e3939d9f8e0f78f9c564ec6feb12cc5635c0acb] persona=lakshmi, wcag=2.1.1, expected=passed
  axe rep 1/3: predicted=failed, progress=919/1620
  axe rep 2/3: predicted=failed, progress=920/1620
  axe rep 3/3: predicted=failed, progress=921/1620
  persona_llm rep 1/3: predicted=failed, progress=922/1620
  persona_llm rep 2/3: predicted=failed, progress=923/1620
  persona_llm rep 3/3: predicted=failed, progress=924/1620
  persona_agent rep 1/3: predicted=failed, progress=925/1620
  persona_agent rep 2/3: predicted=failed, progress=926/1620
  persona_agent rep 3/3: predicted=failed, progress=927/1620
[270a22a8e4ce4d9f073e1484a0d807705207a1d7] persona=lakshmi, wcag=2.1.1, expected=passed
  axe rep 1/3: predicted=failed, progress=928/1620
  axe rep 2/3: predicted=failed, progress=929/1620
  axe rep 3/3: predicted=failed, progress=930/1620
  persona_llm rep 1/3: predicted=passed, progress=931/1620
  persona_llm rep 2/3: predicted=passed, progress=932/1620
  persona_llm rep 3/3: predicted=passed, progress=933/1620
  persona_agent rep 1/3: predicted=failed, progress=934/1620
  persona_agent rep 2/3: predicted=failed, progress=935/1620
  persona_agent rep 3/3: predicted=failed, progress=936/1620
[5fa34d0a7eea03109cd12c0e7c21fce793c268db] persona=lakshmi, wcag=2.1.1, expected=failed
  axe rep 1/3: predicted=failed, progress=937/1620
  axe rep 2/3: predicted=failed, progress=938/1620
  axe rep 3/3: predicted=failed, progress=939/1620
  persona_llm rep 1/3: predicted=failed, progress=940/1620
  persona_llm rep 2/3: predicted=failed, progress=941/1620
  persona_llm rep 3/3: predicted=failed, progress=942/1620
  persona_agent rep 1/3: predicted=failed, progress=943/1620
  persona_agent rep 2/3: predicted=failed, progress=944/1620
  persona_agent rep 3/3: predicted=failed, progress=945/1620
[62673162e22ee1e95e962522b1d1c3b549dbfc49] persona=lakshmi, wcag=2.1.1, expected=failed
  axe rep 1/3: predicted=failed, progress=946/1620
  axe rep 2/3: predicted=failed, progress=947/1620
  axe rep 3/3: predicted=failed, progress=948/1620
  persona_llm rep 1/3: predicted=failed, progress=949/1620
  persona_llm rep 2/3: predicted=failed, progress=950/1620
  persona_llm rep 3/3: predicted=failed, progress=951/1620
  persona_agent rep 1/3: predicted=failed, progress=952/1620
  persona_agent rep 2/3: predicted=failed, progress=953/1620
  persona_agent rep 3/3: predicted=failed, progress=954/1620
[033e04cced5973596d9aa724feacb027d23b4c53] persona=lakshmi, wcag=2.1.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=955/1620
  axe rep 2/3: predicted=failed, progress=956/1620
  axe rep 3/3: predicted=failed, progress=957/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=958/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=959/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=960/1620
  persona_agent rep 1/3: predicted=failed, progress=961/1620
  persona_agent rep 2/3: predicted=failed, progress=962/1620
  persona_agent rep 3/3: predicted=failed, progress=963/1620
[17a371c470316dc29e424101065ebfe9f7b2e990] persona=lakshmi, wcag=2.1.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=964/1620
  axe rep 2/3: predicted=failed, progress=965/1620
  axe rep 3/3: predicted=failed, progress=966/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=967/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=968/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=969/1620
  persona_agent rep 1/3: predicted=failed, progress=970/1620
  persona_agent rep 2/3: predicted=failed, progress=971/1620
  persona_agent rep 3/3: predicted=failed, progress=972/1620
[07c0b535c3c68a3deeb9fde43c4ba5aca09fb94e] persona=lakshmi, wcag=2.4.1, expected=passed
  axe rep 1/3: predicted=failed, progress=973/1620
  axe rep 2/3: predicted=failed, progress=974/1620
  axe rep 3/3: predicted=failed, progress=975/1620
  persona_llm rep 1/3: predicted=failed, progress=976/1620
  persona_llm rep 2/3: predicted=failed, progress=977/1620
  persona_llm rep 3/3: predicted=failed, progress=978/1620
  persona_agent rep 1/3: predicted=failed, progress=979/1620
  persona_agent rep 2/3: predicted=failed, progress=980/1620
  persona_agent rep 3/3: predicted=failed, progress=981/1620
[1c8d17ef6a69be1bbc5b28f432d2b7192e0f65c9] persona=lakshmi, wcag=2.4.1, expected=passed
  axe rep 1/3: predicted=failed, progress=982/1620
  axe rep 2/3: predicted=failed, progress=983/1620
  axe rep 3/3: predicted=failed, progress=984/1620
  persona_llm rep 1/3: predicted=failed, progress=985/1620
  persona_llm rep 2/3: predicted=failed, progress=986/1620
  persona_llm rep 3/3: predicted=failed, progress=987/1620
  persona_agent rep 1/3: predicted=failed, progress=988/1620
  persona_agent rep 2/3: predicted=failed, progress=989/1620
  persona_agent rep 3/3: predicted=failed, progress=990/1620
[55a6cc3efc35180844d75a9f207b456373b1435c] persona=lakshmi, wcag=2.4.1, expected=failed
  axe rep 1/3: predicted=failed, progress=991/1620
  axe rep 2/3: predicted=failed, progress=992/1620
  axe rep 3/3: predicted=failed, progress=993/1620
  persona_llm rep 1/3: predicted=failed, progress=994/1620
  persona_llm rep 2/3: predicted=failed, progress=995/1620
  persona_llm rep 3/3: predicted=failed, progress=996/1620
  persona_agent rep 1/3: predicted=failed, progress=997/1620
  persona_agent rep 2/3: predicted=failed, progress=998/1620
  persona_agent rep 3/3: predicted=failed, progress=999/1620
[ha-2-4-1-fail-01-no-skip-mechanism] persona=lakshmi, wcag=2.4.1, expected=failed
  axe rep 1/3: predicted=failed, progress=1000/1620
  axe rep 2/3: predicted=failed, progress=1001/1620
  axe rep 3/3: predicted=failed, progress=1002/1620
  persona_llm rep 1/3: predicted=failed, progress=1003/1620
  persona_llm rep 2/3: predicted=failed, progress=1004/1620
  persona_llm rep 3/3: predicted=failed, progress=1005/1620
  persona_agent rep 1/3: predicted=failed, progress=1006/1620
  persona_agent rep 2/3: predicted=failed, progress=1007/1620
  persona_agent rep 3/3: predicted=failed, progress=1008/1620
[ha-2-4-1-inap-01-no-repeated-blocks] persona=lakshmi, wcag=2.4.1, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=1009/1620
  axe rep 2/3: predicted=passed, progress=1010/1620
  axe rep 3/3: predicted=passed, progress=1011/1620
  persona_llm rep 1/3: predicted=passed, progress=1012/1620
  persona_llm rep 2/3: predicted=passed, progress=1013/1620
  persona_llm rep 3/3: predicted=passed, progress=1014/1620
  persona_agent rep 1/3: predicted=passed, progress=1015/1620
  persona_agent rep 2/3: predicted=passed, progress=1016/1620
  persona_agent rep 3/3: predicted=passed, progress=1017/1620
[ecc29b73e37b6a125b3fd9767068dcaa368d467a] persona=lakshmi, wcag=2.4.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=1018/1620
  axe rep 2/3: predicted=failed, progress=1019/1620
  axe rep 3/3: predicted=failed, progress=1020/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=1021/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=1022/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=1023/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=1024/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=1025/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=1026/1620
[00fe207175e40ddc81a86fb09504e5fa33b7dd0f] persona=lakshmi, wcag=4.1.2, expected=passed
  axe rep 1/3: predicted=failed, progress=1027/1620
  axe rep 2/3: predicted=failed, progress=1028/1620
  axe rep 3/3: predicted=failed, progress=1029/1620
  persona_llm rep 1/3: predicted=failed, progress=1030/1620
  persona_llm rep 2/3: predicted=failed, progress=1031/1620
  persona_llm rep 3/3: predicted=failed, progress=1032/1620
  persona_agent rep 1/3: predicted=failed, progress=1033/1620
  persona_agent rep 2/3: predicted=failed, progress=1034/1620
  persona_agent rep 3/3: predicted=failed, progress=1035/1620
[08c5575023e8bf16caabcf01a1c8d40fe6ecaf94] persona=lakshmi, wcag=4.1.2, expected=passed
  axe rep 1/3: predicted=failed, progress=1036/1620
  axe rep 2/3: predicted=failed, progress=1037/1620
  axe rep 3/3: predicted=failed, progress=1038/1620
  persona_llm rep 1/3: predicted=failed, progress=1039/1620
  persona_llm rep 2/3: predicted=failed, progress=1040/1620
  persona_llm rep 3/3: predicted=failed, progress=1041/1620
  persona_agent rep 1/3: predicted=failed, progress=1042/1620
  persona_agent rep 2/3: predicted=failed, progress=1043/1620
  persona_agent rep 3/3: predicted=failed, progress=1044/1620
[004258203c8bf167307b6ed79f765115d16a6357] persona=lakshmi, wcag=4.1.2, expected=failed
  axe rep 1/3: predicted=failed, progress=1045/1620
  axe rep 2/3: predicted=failed, progress=1046/1620
  axe rep 3/3: predicted=failed, progress=1047/1620
  persona_llm rep 1/3: predicted=failed, progress=1048/1620
  persona_llm rep 2/3: predicted=failed, progress=1049/1620
  persona_llm rep 3/3: predicted=failed, progress=1050/1620
  persona_agent rep 1/3: predicted=failed, progress=1051/1620
  persona_agent rep 2/3: predicted=failed, progress=1052/1620
  persona_agent rep 3/3: predicted=failed, progress=1053/1620
[04342a3834e0003f3057807937d617e432e83d33] persona=lakshmi, wcag=4.1.2, expected=failed
  axe rep 1/3: predicted=failed, progress=1054/1620
  axe rep 2/3: predicted=failed, progress=1055/1620
  axe rep 3/3: predicted=failed, progress=1056/1620
  persona_llm rep 1/3: predicted=failed, progress=1057/1620
  persona_llm rep 2/3: predicted=failed, progress=1058/1620
  persona_llm rep 3/3: predicted=failed, progress=1059/1620
  persona_agent rep 1/3: predicted=failed, progress=1060/1620
  persona_agent rep 2/3: predicted=failed, progress=1061/1620
  persona_agent rep 3/3: predicted=failed, progress=1062/1620
[058668cee446d08989bf24d5ce3413dc2cda9975] persona=lakshmi, wcag=4.1.2, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=1063/1620
  axe rep 2/3: predicted=failed, progress=1064/1620
  axe rep 3/3: predicted=failed, progress=1065/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=1066/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=1067/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=1068/1620
  persona_agent rep 1/3: predicted=failed, progress=1069/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=1070/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=1071/1620
[0666607827b30150ed0a5be439f58623b3222131] persona=lakshmi, wcag=4.1.2, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=1072/1620
  axe rep 2/3: predicted=failed, progress=1073/1620
  axe rep 3/3: predicted=failed, progress=1074/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=1075/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=1076/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=1077/1620
  persona_agent rep 1/3: predicted=inapplicable, progress=1078/1620
  persona_agent rep 2/3: predicted=inapplicable, progress=1079/1620
  persona_agent rep 3/3: predicted=inapplicable, progress=1080/1620
[49d79a4e4e4a994a8eb7cf2eaf59c99d2251cac5] persona=sophie, wcag=2.2.1, expected=passed
  axe rep 1/3: predicted=failed, progress=1081/1620
  axe rep 2/3: predicted=failed, progress=1082/1620
  axe rep 3/3: predicted=failed, progress=1083/1620
  persona_llm rep 1/3: predicted=failed, progress=1084/1620
  persona_llm rep 2/3: predicted=failed, progress=1085/1620
  persona_llm rep 3/3: predicted=failed, progress=1086/1620
  persona_agent rep 1/3: predicted=failed, progress=1087/1620
  persona_agent rep 2/3: predicted=failed, progress=1088/1620
  persona_agent rep 3/3: predicted=failed, progress=1089/1620
[b5ca868de7980f6944142ecdb849f47ad2cdfb5c] persona=sophie, wcag=2.2.1, expected=passed
  axe rep 1/3: predicted=failed, progress=1090/1620
  axe rep 2/3: predicted=failed, progress=1091/1620
  axe rep 3/3: predicted=failed, progress=1092/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=1093/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=1094/1620
  persona_llm rep 3/3: predicted=failed, progress=1095/1620
  persona_agent rep 1/3: predicted=failed, progress=1096/1620
  persona_agent rep 2/3: predicted=failed, progress=1097/1620
  persona_agent rep 3/3: predicted=failed, progress=1098/1620
[56857820788db21498e95a5cbba65d59a9a2b892] persona=sophie, wcag=2.2.1, expected=failed
  axe rep 1/3: predicted=failed, progress=1099/1620
  axe rep 2/3: predicted=failed, progress=1100/1620
  axe rep 3/3: predicted=failed, progress=1101/1620
  persona_llm rep 1/3: predicted=failed, progress=1102/1620
  persona_llm rep 2/3: predicted=failed, progress=1103/1620
  persona_llm rep 3/3: predicted=failed, progress=1104/1620
  persona_agent rep 1/3: predicted=failed, progress=1105/1620
  persona_agent rep 2/3: predicted=failed, progress=1106/1620
  persona_agent rep 3/3: predicted=failed, progress=1107/1620
[5d4d5b214459c8a0779600ab39a5668003271c62] persona=sophie, wcag=2.2.1, expected=failed
  axe rep 1/3: predicted=failed, progress=1108/1620
  axe rep 2/3: predicted=failed, progress=1109/1620
  axe rep 3/3: predicted=failed, progress=1110/1620
  persona_llm rep 1/3: predicted=passed, progress=1111/1620
  persona_llm rep 2/3: predicted=passed, progress=1112/1620
  persona_llm rep 3/3: predicted=passed, progress=1113/1620
  persona_agent rep 1/3: predicted=failed, progress=1114/1620
  persona_agent rep 2/3: predicted=failed, progress=1115/1620
  persona_agent rep 3/3: predicted=passed, progress=1116/1620
[0bf30cdf02ff26dfca5aa705b7023227da221e05] persona=sophie, wcag=2.2.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=1117/1620
  axe rep 2/3: predicted=failed, progress=1118/1620
  axe rep 3/3: predicted=failed, progress=1119/1620
  persona_llm rep 1/3: predicted=failed, progress=1120/1620
  persona_llm rep 2/3: predicted=failed, progress=1121/1620
  persona_llm rep 3/3: predicted=failed, progress=1122/1620
  persona_agent rep 1/3: predicted=failed, progress=1123/1620
  persona_agent rep 2/3: predicted=failed, progress=1124/1620
  persona_agent rep 3/3: predicted=failed, progress=1125/1620
[48a600254c0883cd5a72471420b1ac5a532ca6c3] persona=sophie, wcag=2.2.1, expected=inapplicable
  axe rep 1/3: predicted=failed, progress=1126/1620
  axe rep 2/3: predicted=failed, progress=1127/1620
  axe rep 3/3: predicted=failed, progress=1128/1620
  persona_llm rep 1/3: predicted=inapplicable, progress=1129/1620
  persona_llm rep 2/3: predicted=inapplicable, progress=1130/1620
  persona_llm rep 3/3: predicted=inapplicable, progress=1131/1620
  persona_agent rep 1/3: predicted=passed, progress=1132/1620
  persona_agent rep 2/3: predicted=passed, progress=1133/1620
  persona_agent rep 3/3: predicted=passed, progress=1134/1620
[ha-2-4-8-pass-01-breadcrumb-with-current] persona=sophie, wcag=2.4.8, expected=passed
  axe rep 1/3: predicted=passed, progress=1135/1620
  axe rep 2/3: predicted=passed, progress=1136/1620
  axe rep 3/3: predicted=passed, progress=1137/1620
  persona_llm rep 1/3: predicted=passed, progress=1138/1620
  persona_llm rep 2/3: predicted=passed, progress=1139/1620
  persona_llm rep 3/3: predicted=passed, progress=1140/1620
  persona_agent rep 1/3: predicted=failed, progress=1141/1620
  persona_agent rep 2/3: predicted=failed, progress=1142/1620
  persona_agent rep 3/3: predicted=failed, progress=1143/1620
[ha-2-4-8-pass-02-current-link-highlighted] persona=sophie, wcag=2.4.8, expected=passed
  axe rep 1/3: predicted=passed, progress=1144/1620
  axe rep 2/3: predicted=passed, progress=1145/1620
  axe rep 3/3: predicted=passed, progress=1146/1620
  persona_llm rep 1/3: predicted=passed, progress=1147/1620
  persona_llm rep 2/3: predicted=passed, progress=1148/1620
  persona_llm rep 3/3: predicted=passed, progress=1149/1620
  persona_agent rep 1/3: predicted=passed, progress=1150/1620
  persona_agent rep 2/3: predicted=failed, progress=1151/1620
  persona_agent rep 3/3: predicted=failed, progress=1152/1620
[ha-2-4-8-fail-01-deep-page-no-trail] persona=sophie, wcag=2.4.8, expected=failed
  axe rep 1/3: predicted=passed, progress=1153/1620
  axe rep 2/3: predicted=passed, progress=1154/1620
  axe rep 3/3: predicted=passed, progress=1155/1620
  persona_llm rep 1/3: predicted=failed, progress=1156/1620
  persona_llm rep 2/3: predicted=failed, progress=1157/1620
  persona_llm rep 3/3: predicted=failed, progress=1158/1620
  persona_agent rep 1/3: predicted=failed, progress=1159/1620
  persona_agent rep 2/3: predicted=failed, progress=1160/1620
  persona_agent rep 3/3: predicted=failed, progress=1161/1620
[ha-2-4-8-fail-02-breadcrumb-missing-current] persona=sophie, wcag=2.4.8, expected=failed
  axe rep 1/3: predicted=passed, progress=1162/1620
  axe rep 2/3: predicted=passed, progress=1163/1620
  axe rep 3/3: predicted=passed, progress=1164/1620
  persona_llm rep 1/3: predicted=passed, progress=1165/1620
  persona_llm rep 2/3: predicted=passed, progress=1166/1620
  persona_llm rep 3/3: predicted=passed, progress=1167/1620
  persona_agent rep 1/3: predicted=failed, progress=1168/1620
  persona_agent rep 2/3: predicted=failed, progress=1169/1620
  persona_agent rep 3/3: predicted=failed, progress=1170/1620
[ha-2-4-8-inap-01-homepage] persona=sophie, wcag=2.4.8, expected=inapplicable
  axe rep 1/3: predicted=passed, progress=1171/1620
  axe rep 2/3: predicted=passed, progress=1172/1620
  axe rep 3/3: predicted=passed, progress=1173/1620
  persona_llm rep 1/3: predicted=passed, progress=1174/1620
  persona_llm rep 2/3: predicted=passed, progress=1175/1620
  persona_llm rep 3/3: predicted=passed, progress=1176/1620
  persona_agent rep 1/3: predicted=failed, progress=1177/1620
  persona_agent rep 2/3: predicted=failed, progress=1178/1620
  persona_agent rep 3/3: predicted=failed, progress=1179/1620
